"region","scenario","landuse","year","LU_frac"
"Global","Reference_CI_HadGEM","grass","2020",19696.8397783334
"Global","Reference_CI_HadGEM","grass","2025",19635.0422135111
"Global","Reference_CI_HadGEM","grass","2030",19605.9238518435
"Global","Reference_CI_HadGEM","grass","2035",19557.9100614726
"Global","Reference_CI_HadGEM","grass","2040",19507.8294130639
"Global","Reference_CI_HadGEM","grass","2045",19455.7991163463
"Global","Reference_CI_HadGEM","grass","2050",19409.642290501
"Global","Reference_CI_HadGEM","grass","2055",19357.7898800176
"Global","Reference_CI_HadGEM","grass","2060",19312.0043913883
"Global","Reference_CI_HadGEM","grass","2065",19270.0633429845
"Global","Reference_CI_HadGEM","grass","2070",19238.6320146139
"Global","Reference_CI_HadGEM","grass","2075",19211.2634297086
"Global","Reference_CI_HadGEM","grass","2080",19184.2718179738
"Global","Reference_CI_HadGEM","grass","2085",19169.6881723478
"Global","Reference_CI_HadGEM","grass","2090",19150.6363814606
"Global","Reference_CI_HadGEM","grass","2095",19142.0584941667
"Global","Reference_CI_HadGEM","grass","2100",19134.2986791606
"Global","Reference_CI_HadGEM","naturalOther","1990",25699.6131007106
"Global","Reference_CI_HadGEM","naturalOther","2005",25090.4416997719
"Global","Reference_CI_HadGEM","naturalOther","2010",24850.635001489
"Global","Reference_CI_HadGEM","naturalOther","2015",25021.452949178
"Global","Reference_CI_HadGEM","naturalOther","2020",24837.454155197
"Global","Reference_CI_HadGEM","naturalOther","2025",24534.6989182262
"Global","Reference_CI_HadGEM","naturalOther","2030",24421.7578522334
"Global","Reference_CI_HadGEM","naturalOther","2035",24236.2009815851
"Global","Reference_CI_HadGEM","naturalOther","2040",24049.7228910927
"Global","Reference_CI_HadGEM","naturalOther","2045",23864.853683204
"Global","Reference_CI_HadGEM","naturalOther","2050",23703.902088172
"Global","Reference_CI_HadGEM","naturalOther","2055",23538.74759571
"Global","Reference_CI_HadGEM","naturalOther","2060",23401.7116368981
"Global","Reference_CI_HadGEM","naturalOther","2065",23279.1060900307
"Global","Reference_CI_HadGEM","naturalOther","2070",23194.0143767592
"Global","Reference_CI_HadGEM","naturalOther","2075",23119.385656399
"Global","Reference_CI_HadGEM","naturalOther","2080",23042.6042348362
"Global","Reference_CI_HadGEM","naturalOther","2085",23005.5663287666
"Global","Reference_CI_HadGEM","naturalOther","2090",22953.4116200521
"Global","Reference_CI_HadGEM","naturalOther","2095",22932.7584716462
"Global","Reference_CI_HadGEM","naturalOther","2100",22906.8016029404
"Global","Reference_CI_HadGEM","pasture","1990",32649.8915275681
"Global","Reference_CI_HadGEM","pasture","2005",32931.4413306256
"Global","Reference_CI_HadGEM","pasture","2010",33029.5768015845
"Global","Reference_CI_HadGEM","pasture","2015",32763.5383930303
"Global","Reference_CI_HadGEM","pasture","2020",32731.0651761601
"Global","Reference_CI_HadGEM","pasture","2025",32729.6151459366
"Global","Reference_CI_HadGEM","pasture","2030",32770.0047074045
"Global","Reference_CI_HadGEM","pasture","2035",32790.6617327386
"Global","Reference_CI_HadGEM","pasture","2040",32803.8873365554
"Global","Reference_CI_HadGEM","pasture","2045",32774.5204881038
"Global","Reference_CI_HadGEM","pasture","2050",32735.5217604507
"Global","Reference_CI_HadGEM","pasture","2055",32671.8631077982
"Global","Reference_CI_HadGEM","pasture","2060",32621.024552094
"Global","Reference_CI_HadGEM","pasture","2065",32567.6154458264
"Global","Reference_CI_HadGEM","pasture","2070",32522.3012507235
"Global","Reference_CI_HadGEM","pasture","2075",32470.4909122827
"Global","Reference_CI_HadGEM","pasture","2080",32404.3454782302
"Global","Reference_CI_HadGEM","pasture","2085",32380.6571685816
"Global","Reference_CI_HadGEM","pasture","2090",32336.2702524261
"Global","Reference_CI_HadGEM","pasture","2095",32312.3613170993
"Global","Reference_CI_HadGEM","pasture","2100",32280.1334616104
"Global","Reference_CI_HadGEM","shrubs","1990",11822.64509929
"Global","Reference_CI_HadGEM","shrubs","2005",11797.34291733
"Global","Reference_CI_HadGEM","shrubs","2010",11770.245566374
"Global","Reference_CI_HadGEM","shrubs","2015",11820.14896864
"Global","Reference_CI_HadGEM","shrubs","2020",11793.14820986
"Global","Reference_CI_HadGEM","shrubs","2025",11720.46840985
"Global","Reference_CI_HadGEM","shrubs","2030",11698.88302292
"Global","Reference_CI_HadGEM","shrubs","2035",11665.92800198
"Global","Reference_CI_HadGEM","shrubs","2040",11631.5818187
"Global","Reference_CI_HadGEM","shrubs","2045",11597.47241849
"Global","Reference_CI_HadGEM","shrubs","2050",11568.33280049
"Global","Reference_CI_HadGEM","shrubs","2055",11538.19554793
"Global","Reference_CI_HadGEM","shrubs","2060",11512.45211824
"Global","Reference_CI_HadGEM","shrubs","2065",11489.92662708
"Global","Reference_CI_HadGEM","shrubs","2070",11473.52166091
"Global","Reference_CI_HadGEM","shrubs","2075",11459.78976896
"Global","Reference_CI_HadGEM","shrubs","2080",11445.86153795
"Global","Reference_CI_HadGEM","shrubs","2085",11437.870876081
"Global","Reference_CI_HadGEM","shrubs","2090",11427.65701703
"Global","Reference_CI_HadGEM","shrubs","2095",11424.10313134
"Global","Reference_CI_HadGEM","shrubs","2100",11419.749180196
"Global","Reference_CI_HadGEM","urban","1990",369.521476323
"Global","Reference_CI_HadGEM","urban","2005",483.218665155
"Global","Reference_CI_HadGEM","urban","2010",527.675892103
"Global","Reference_CI_HadGEM","urban","2015",575.486952733
"Global","Reference_CI_HadGEM","urban","2020",575.486952733
"Global","Reference_CI_HadGEM","urban","2025",575.486952733
"Global","Reference_CI_HadGEM","urban","2030",575.486952733
"Global","Reference_CI_HadGEM","urban","2035",575.486952733
"Global","Reference_CI_HadGEM","urban","2040",575.486952733
"Global","Reference_CI_HadGEM","urban","2045",575.486952733
"Global","Reference_CI_HadGEM","urban","2050",575.486952733
"Global","Reference_CI_HadGEM","urban","2055",575.486952733
"Global","Reference_CI_HadGEM","urban","2060",575.486952733
"Global","Reference_CI_HadGEM","urban","2065",575.486952733
"Global","Reference_CI_HadGEM","urban","2070",575.486952733
"Global","Reference_CI_HadGEM","urban","2075",575.486952733
"Global","Reference_CI_HadGEM","urban","2080",575.486952733
"Global","Reference_CI_HadGEM","urban","2085",575.486952733
"Global","Reference_CI_HadGEM","urban","2090",575.486952733
"Global","Reference_CI_HadGEM","urban","2095",575.486952733
"Global","Reference_CI_HadGEM","urban","2100",575.486952733
"Taiwan","Reference_CI_HadGEM","biomass","1990",0
"Taiwan","Reference_CI_HadGEM","biomass","2005",0
"Taiwan","Reference_CI_HadGEM","biomass","2010",0
"Taiwan","Reference_CI_HadGEM","biomass","2015",0
"Taiwan","Reference_CI_HadGEM","biomass","2020",0.00257510431
"Taiwan","Reference_CI_HadGEM","biomass","2025",0.00222712092
"Taiwan","Reference_CI_HadGEM","biomass","2030",0.00325676037
"Taiwan","Reference_CI_HadGEM","biomass","2035",0.00054580866
"Taiwan","Reference_CI_HadGEM","biomass","2040",0.000553323556
"Taiwan","Reference_CI_HadGEM","biomass","2045",0.0007660505066
"Taiwan","Reference_CI_HadGEM","biomass","2050",0.00093571195298
"Taiwan","Reference_CI_HadGEM","biomass","2055",0.0009602511018
"Taiwan","Reference_CI_HadGEM","biomass","2060",0.0009274218351
"Taiwan","Reference_CI_HadGEM","biomass","2065",0.000919713921202
"Taiwan","Reference_CI_HadGEM","biomass","2070",0.000879529205666
