"region","scenario","Scen_Label","year","tot_Generation"
"China","Reference_CI_NorESM","Reference_CI",2040,38.898181844
"China","Reference_CI_NorESM","Reference_CI",2045,41.467576404
"China","Reference_CI_NorESM","Reference_CI",2050,42.959762251
"China","Reference_CI_NorESM","Reference_CI",2055,44.087748257
"China","Reference_CI_NorESM","Reference_CI",2060,44.42323264
"China","Reference_CI_NorESM","Reference_CI",2065,44.14441474
"China","Reference_CI_NorESM","Reference_CI",2070,43.748982921
"China","Reference_CI_NorESM","Reference_CI",2075,43.088952888
"China","Reference_CI_NorESM","Reference_CI",2080,41.954395768
"China","Reference_CI_NorESM","Reference_CI",2085,41.054371429
"China","Reference_CI_NorESM","Reference_CI",2090,40.160259614
"China","Reference_CI_NorESM","Reference_CI",2095,39.3387073963
"China","Reference_CI_NorESM","Reference_CI",2100,38.5174500975
"Global","Policy","Policy",1990,41.37371036119
"Global","Policy","Policy",2005,64.06208638416
"Global","Policy","Policy",2010,75.50154684438
"Global","Policy","Policy",2015,85.370530684253
"Global","Policy","Policy",2020,97.9312792900692
"Global","Policy","Policy",2025,117.681424563635
"Global","Policy","Policy",2030,138.914741509658
"Global","Policy","Policy",2035,170.133425676507
"Global","Policy","Policy",2040,194.564194406802
"Global","Policy","Policy",2045,218.492214591653
"Global","Policy","Policy",2050,241.985386248139
"Global","Policy","Policy",2055,262.77480251217
"Global","Policy","Policy",2060,283.375853082681
"Global","Policy","Policy",2065,297.942022202353
"Global","Policy","Policy",2070,314.527794272866
"Global","Policy","Policy",2075,329.575921424663
"Global","Policy","Policy",2080,342.064930040549
"Global","Policy","Policy",2085,353.014070665487
"Global","Policy","Policy",2090,361.75614194581
"Global","Policy","Policy",2095,368.505024985641
"Global","Policy","Policy",2100,374.409960082551
"Global","Policy_CI_GFDL","Policy_CI",1990,41.37371036119
"Global","Policy_CI_GFDL","Policy_CI",2005,64.06208638416
"Global","Policy_CI_GFDL","Policy_CI",2010,75.50154684438
"Global","Policy_CI_GFDL","Policy_CI",2015,85.370530684253
"Global","Policy_CI_GFDL","Policy_CI",2020,97.9414865254825
"Global","Policy_CI_GFDL","Policy_CI",2025,117.602376821426
"Global","Policy_CI_GFDL","Policy_CI",2030,138.824721099127
"Global","Policy_CI_GFDL","Policy_CI",2035,170.21974919593
"Global","Policy_CI_GFDL","Policy_CI",2040,194.503534224127
"Global","Policy_CI_GFDL","Policy_CI",2045,218.496934631346
"Global","Policy_CI_GFDL","Policy_CI",2050,241.888419868522
"Global","Policy_CI_GFDL","Policy_CI",2055,262.537756903676
"Global","Policy_CI_GFDL","Policy_CI",2060,283.400161822445
"Global","Policy_CI_GFDL","Policy_CI",2065,297.954461925511
"Global","Policy_CI_GFDL","Policy_CI",2070,314.704202844836
"Global","Policy_CI_GFDL","Policy_CI",2075,329.675048176538
"Global","Policy_CI_GFDL","Policy_CI",2080,342.308527057022
