"region","scenario","sector","year","Water_Withdrawal"
"Taiwan","Policy_NoDAC","regional natural gas","2095",2.043845e-05
"Taiwan","Policy_NoDAC","regional oil","2095",0.03934324
"Global","Policy_NoDAC","Beef","2095",61.827543907379
"Global","Policy_NoDAC","Corn","2095",281.043480209855
"Global","Policy_NoDAC","Dairy","2095",63.5110620435419
"Global","Policy_NoDAC","FiberCrop","2095",187.59313232122
"Global","Policy_NoDAC","FodderGrass","2095",2.22005732064419
"Global","Policy_NoDAC","FodderHerb","2095",82.3226178259013
"Global","Policy_NoDAC","MiscCrop","2095",698.651635339644
"Global","Policy_NoDAC","OilCrop","2095",216.505934513743
"Global","Policy_NoDAC","OtherGrain","2095",58.6134458741448
"Global","Policy_NoDAC","PalmFruit","2095",0.4679888339016
"Global","Policy_NoDAC","Pork","2095",36.10159786462
"Global","Policy_NoDAC","Poultry","2095",0.00535863596676
"Global","Policy_NoDAC","Rice","2095",505.950026184497
"Global","Policy_NoDAC","RootTuber","2095",38.852624173966
"Global","Policy_NoDAC","SheepGoat","2095",19.5097904364336
"Global","Policy_NoDAC","SugarCrop","2095",325.091713139504
"Global","Policy_NoDAC","Wheat","2095",481.448597216377
"Global","Policy_NoDAC","biomass","2095",172.903397557419
"Global","Policy_NoDAC","elec_biomass (IGCC CCS)","2095",19.9846174690242
"Global","Policy_NoDAC","elec_biomass (conv CCS)","2095",144.997269971921
"Global","Policy_NoDAC","elec_coal (IGCC CCS)","2095",25.7328614988588
"Global","Policy_NoDAC","elec_coal (conv pul CCS)","2095",68.7497220357871
"Global","Policy_NoDAC","elec_gas (CC CCS)","2095",63.69377195781
"Global","Policy_NoDAC","elec_refined liquids (CC CCS)","2095",4.58021058005979
"Global","Policy_NoDAC","electricity","2095",184.526872434527
"Global","Policy_NoDAC","industry","2095",557.088329
"Global","Policy_NoDAC","municipal water","2095",677.83359
"Global","Policy_NoDAC","nuclearFuelGenII","2095",0
"Global","Policy_NoDAC","nuclearFuelGenIII","2095",3.342097237
"Global","Policy_NoDAC","regional coal","2095",0.6135845338
"Global","Policy_NoDAC","regional natural gas","2095",0.005012315149
"Global","Policy_NoDAC","regional oil","2095",14.9684791611
"China","Policy_NoDAC","Beef","2100",8.77562799
"China","Policy_NoDAC","Corn","2100",40.7311410669412
"China","Policy_NoDAC","Dairy","2100",6.5424175
"China","Policy_NoDAC","FiberCrop","2100",6.79371596396
"China","Policy_NoDAC","MiscCrop","2100",29.682702714675
"China","Policy_NoDAC","OilCrop","2100",22.85969785
"China","Policy_NoDAC","OtherGrain","2100",0.74721995887719
"China","Policy_NoDAC","Pork","2100",18.05675086
"China","Policy_NoDAC","Poultry","2100",0.001223714276
"China","Policy_NoDAC","Rice","2100",66.23162461298
"China","Policy_NoDAC","RootTuber","2100",1.2836932212
"China","Policy_NoDAC","SheepGoat","2100",3.6744697
"China","Policy_NoDAC","SugarCrop","2100",1.363245977
"China","Policy_NoDAC","Wheat","2100",69.69942557
"China","Policy_NoDAC","biomass","2100",12.993660592637
"China","Policy_NoDAC","elec_biomass (IGCC CCS)","2100",2.5671472082726
"China","Policy_NoDAC","elec_biomass (conv CCS)","2100",47.74668228
"China","Policy_NoDAC","elec_coal (IGCC CCS)","2100",7.11106981
"China","Policy_NoDAC","elec_coal (conv pul CCS)","2100",22.570243662
"China","Policy_NoDAC","elec_gas (CC CCS)","2100",3.617050293
"China","Policy_NoDAC","elec_refined liquids (CC CCS)","2100",0.07329000295
"China","Policy_NoDAC","electricity","2100",46.1368058197281
"China","Policy_NoDAC","industry","2100",93.9642
"China","Policy_NoDAC","municipal water","2100",58.6227
"China","Policy_NoDAC","nuclearFuelGenII","2100",0
"China","Policy_NoDAC","nuclearFuelGenIII","2100",0.769187
"China","Policy_NoDAC","regional coal","2100",0.1595646
"China","Policy_NoDAC","regional natural gas","2100",0.000325211
"China","Policy_NoDAC","regional oil","2100",1.577424
"Taiwan","Policy_NoDAC","Beef","2100",0.00658175286
"Taiwan","Policy_NoDAC","Dairy","2100",1.50230123e-06
