region,scenario,sector,subsector,technology,year,cost
China,Reference,electricity,gas,gas (CC CCS),2035,8.4396
China,Reference,electricity,gas,gas (CC),2035,6.07976
China,Reference,electricity,gas,gas (steam/CT),2035,8.78269
China,Reference,electricity,geothermal,geothermal,2035,15.6111
China,Reference,electricity,nuclear,Gen_III,2035,9.37328
China,Reference,electricity,nuclear,Gen_II_LWR,2035,9.9317
China,Reference,electricity,refined liquids,refined liquids (CC CCS),2035,16.5057
China,Reference,electricity,refined liquids,refined liquids (CC),2035,12.7541
China,Reference,electricity,refined liquids,refined liquids (steam/CT),2035,19.0291
China,Reference,electricity,solar,CSP,2035,13.0208
China,Reference,electricity,solar,CSP_storage,2035,10.6067
China,Reference,electricity,solar,PV,2035,5.58421
China,Reference,electricity,solar,PV_storage,2035,18.4104
China,Reference,electricity,wind,wind,2035,5.92795
China,Reference,electricity,wind,wind_offshore,2035,9.39796
China,Reference,electricity,wind,wind_storage,2035,13.68
Taiwan,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2035,11.8897
Taiwan,Reference,electricity,biomass,biomass (IGCC CCS),2035,18.9863
Taiwan,Reference,electricity,biomass,biomass (IGCC),2035,15.1395
Taiwan,Reference,electricity,biomass,biomass (conv CCS),2035,18.9662
Taiwan,Reference,electricity,biomass,biomass (conv),2035,13.5473
Taiwan,Reference,electricity,coal,coal (IGCC CCS),2035,12.2093
Taiwan,Reference,electricity,coal,coal (IGCC),2035,8.38139
Taiwan,Reference,electricity,coal,coal (conv pul CCS),2035,12.0097
Taiwan,Reference,electricity,coal,coal (conv pul),2035,7.69212
Taiwan,Reference,electricity,gas,gas (CC CCS),2035,7.65801
Taiwan,Reference,electricity,gas,gas (CC),2035,5.14858
Taiwan,Reference,electricity,gas,gas (steam/CT),2035,7.38447
Taiwan,Reference,electricity,geothermal,geothermal,2035,15.6903
Taiwan,Reference,electricity,nuclear,Gen_III,2035,9.33928
Taiwan,Reference,electricity,nuclear,Gen_II_LWR,2035,9.8977
Taiwan,Reference,electricity,refined liquids,refined liquids (CC CCS),2035,16.3871
Taiwan,Reference,electricity,refined liquids,refined liquids (CC),2035,12.3607
Taiwan,Reference,electricity,refined liquids,refined liquids (steam/CT),2035,18.4578
Taiwan,Reference,electricity,solar,CSP,2035,7.90636
Taiwan,Reference,electricity,solar,CSP_storage,2035,8.19115
Taiwan,Reference,electricity,solar,PV,2035,6.06814
Taiwan,Reference,electricity,solar,PV_storage,2035,22.0863
Taiwan,Reference,electricity,wind,wind,2035,6.71286
Taiwan,Reference,electricity,wind,wind_offshore,2035,8.77667
Taiwan,Reference,electricity,wind,wind_storage,2035,15.3853
China,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2040,11.513
China,Reference,electricity,biomass,biomass (IGCC CCS),2040,17.6375
China,Reference,electricity,biomass,biomass (IGCC),2040,15.3916
China,Reference,electricity,biomass,biomass (conv CCS),2040,17.2533
China,Reference,electricity,biomass,biomass (conv),2040,13.9089
China,Reference,electricity,coal,coal (IGCC CCS),2040,11.4453
China,Reference,electricity,coal,coal (IGCC),2040,9.05837
China,Reference,electricity,coal,coal (conv pul CCS),2040,11.272
China,Reference,electricity,coal,coal (conv pul),2040,8.48153
China,Reference,electricity,gas,gas (CC CCS),2040,8.43613
China,Reference,electricity,gas,gas (CC),2040,6.45452
China,Reference,electricity,gas,gas (steam/CT),2040,9.3657
China,Reference,electricity,geothermal,geothermal,2040,16.5541
China,Reference,electricity,nuclear,Gen_III,2040,9.30249
China,Reference,electricity,nuclear,Gen_II_LWR,2040,9.97532
China,Reference,electricity,refined liquids,refined liquids (CC CCS),2040,16.2039
China,Reference,electricity,refined liquids,refined liquids (CC),2040,13.1178
China,Reference,electricity,refined liquids,refined liquids (steam/CT),2040,19.5384
China,Reference,electricity,solar,CSP,2040,12.6354
China,Reference,electricity,solar,CSP_storage,2040,9.77243
China,Reference,electricity,solar,PV,2040,5.79723
China,Reference,electricity,solar,PV_storage,2040,16.4371
China,Reference,electricity,wind,wind,2040,5.84699
China,Reference,electricity,wind,wind_offshore,2040,8.83207
China,Reference,electricity,wind,wind_storage,2040,12.712
Taiwan,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2040,11.8273
Taiwan,Reference,electricity,biomass,biomass (IGCC CCS),2040,18.9019
Taiwan,Reference,electricity,biomass,biomass (IGCC),2040,15.5501
Taiwan,Reference,electricity,biomass,biomass (conv CCS),2040,19.143
Taiwan,Reference,electricity,biomass,biomass (conv),2040,14.3018
Taiwan,Reference,electricity,coal,coal (IGCC CCS),2040,12.4909
Taiwan,Reference,electricity,coal,coal (IGCC),2040,9.04528
Taiwan,Reference,electricity,coal,coal (conv pul CCS),2040,12.5315
Taiwan,Reference,electricity,coal,coal (conv pul),2040,8.46636
